WBS ID,Milestone,Release,Type,Platform,Module,Task,Duration Days,Hours,Planned Start,Planned End,ES,EF,LS,LF,Total Float,Critical,Near Critical,Owner,Use Case,Predecessors
WBS-073,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,自動化工作室,排程與通知管理 - 建置與驗證,8,212,2027-07-01,2027-07-12,217,225,218,226,1,N,Y,流程與自動化管理者,排程與通知管理 可用於「當需要處理「排程與通知管理」時，使用者可透過此功能建立與設定，以完成與「排程與通知管理」相關的日常作業。」等情境。,WBS-072(SS+3)
WBS-074,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,自動化工作室,設定 - 建置與驗證,8,208,2027-07-07,2027-07-16,221,229,222,230,1,N,Y,流程與自動化管理者,設定 可用於「當需要處理「設定」時，使用者可透過此功能建立設計範本，以完成與「設定」相關的日常作業。」等情境。,WBS-073(SS+4)
WBS-075,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,自動化工作室,管理 - 建置與驗證,8,208,2027-07-12,2027-07-21,224,232,225,233,1,N,Y,流程與自動化管理者,管理 可用於「當需要處理「管理」時，使用者可透過此功能建立設計範本，以完成與「管理」相關的日常作業。」等情境。,WBS-074(SS+3)
WBS-076,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,自動化工作室,控制 - 建置與驗證,8,208,2027-07-16,2027-07-27,228,236,229,237,1,N,Y,流程與自動化管理者,控制 可用於「當需要處理「控制」時，使用者可透過此功能建立設計範本，以完成與「控制」相關的日常作業。」等情境。,WBS-075(SS+4)
WBS-077,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,自動化工作室,自動化執行監控 - 建置與驗證,8,216,2027-07-21,2027-07-30,231,239,232,240,1,N,Y,流程與自動化管理者,自動化執行監控 可用於「當需要處理「自動化執行監控」時，使用者可透過此功能監控執行狀態，以完成與「自動化執行監控」相關的日常作業。」等情境。,WBS-076(SS+3)
WBS-078,M3,R3 DM 規劃與客戶回覆,User Release Gate,Cross,Release,R3 DM 規劃與客戶回覆 - 使用者驗收、訓練與發布,5,336,2027-07-27,2027-08-02,235,240,235,240,0,Y,N,PM/PO / QA / DevOps/SRE / Scrum Master,對急單或變動需求進行 ATP 快速評估; 形成需求版本並完成需求協同與客戶回覆,WBS-050(FS+90); WBS-051(FF); WBS-052(FF); WBS-053(FF); WBS-054(FF); WBS-055(FF); WBS-056(FF); WBS-057(FF); WBS-058(FF); WBS-059(FF); WBS-060(FF); WBS-061(FF); WBS-062(FF); WBS-063(FF); WBS-064(FF); WBS-065(FF); WBS-066(FF); WBS-067(FF); WBS-068(FF); WBS-069(FF); WBS-070(FF); WBS-071(FF); WBS-072(FF); WBS-073(FF); WBS-074(FF); WBS-075(FF); WBS-076(FF); WBS-077(FF)
WBS-079,M4,R4 SCP 供應可視化 Pilot,Release/Foundation,Cross,共用/Release,SCP 供應事件與分析 - 共用建設與Release準備,7,420,2027-08-03,2027-08-11,240,247,273,280,33,N,N,PM/PO / DevOps/SRE / QA,偵測缺料、產能瓶頸與庫存風險事件; 以供應分析儀表板查看跨廠供應狀態,WBS-078(FS)
WBS-080,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應事件中心,供應事件收件匣 - 建置與驗證,5,138,2027-08-03,2027-08-09,240,245,259,264,19,N,N,供應規劃人員,供應事件收件匣 可用於「當需要處理「供應事件收件匣」時，使用者可透過此功能接收新事件/任務，以完成與「供應事件收件匣」相關的日常作業。」等情境。,WBS-078(FS+0)
WBS-081,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應事件中心,供應事件明細 - 建置與驗證,5,130,2027-08-05,2027-08-11,242,247,261,266,19,N,N,供應規劃人員,供應事件明細 可用於「當需要處理「供應事件明細」時，使用者可透過此功能查看事件全貌，以完成與「供應事件明細」相關的日常作業。」等情境。,WBS-080(SS+2)
WBS-082,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應事件中心,供應影響與展開預覽 - 建置與驗證,6,150,2027-08-10,2027-08-17,245,251,264,270,19,N,N,供應規劃人員,供應影響與展開預覽 可用於「當需要處理「供應影響與展開預覽」時，使用者可透過此功能建立模擬/評估條件，以完成與「供應影響與展開預覽」相關的日常作業。」等情境。,WBS-081(SS+3)
WBS-083,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應事件中心,檢視 - 建置與驗證,6,150,2027-08-12,2027-08-19,247,253,266,272,19,N,N,供應規劃人員,檢視 可用於「當需要處理「檢視」時，使用者可透過此功能彙整討論內容，以完成與「檢視」相關的日常作業。」等情境。,WBS-082(SS+2)
WBS-084,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應事件中心,事件例外處理 - 建置與驗證,5,134,2027-08-17,2027-08-23,250,255,269,274,19,N,N,供應規劃人員,事件例外處理 可用於「當需要處理「事件例外處理」時，使用者可透過此功能建立與設定，以完成與「事件例外處理」相關的日常作業。」等情境。,WBS-083(SS+3)
WBS-085,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應事件中心,規劃批次生成 - 建置與驗證,5,140,2027-08-19,2027-08-25,252,257,271,276,19,N,N,供應規劃人員,規劃批次生成 可用於「當需要處理「規劃批次生成」時，使用者可透過此功能準備規劃輸入，以完成與「規劃批次生成」相關的日常作業。」等情境。,WBS-084(SS+2)
WBS-086,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應事件中心,事件處理歷程 - 建置與驗證,6,142,2027-08-24,2027-08-31,255,261,274,280,19,N,N,供應規劃人員,事件處理歷程 可用於「當需要處理「事件處理歷程」時，使用者可透過此功能記錄操作歷程，以完成與「事件處理歷程」相關的日常作業。」等情境。,WBS-085(SS+3)
WBS-087,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應分析,供應變化總覽 - 建置與驗證,6,154,2027-08-26,2027-09-02,257,263,259,265,2,N,Y,供應規劃人員,供應變化總覽 可用於「當需要處理「供應變化總覽」時，使用者可透過此功能建立與設定，以完成與「供應變化總覽」相關的日常作業。」等情境。,WBS-078(FS+17)
WBS-088,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應分析,產能瓶頸分析 - 建置與驗證,7,184,2027-08-31,2027-09-08,260,267,262,269,2,N,Y,供應規劃人員,產能瓶頸分析 可用於「當需要處理「產能瓶頸分析」時，使用者可透過此功能建立與設定，以完成與「產能瓶頸分析」相關的日常作業。」等情境。,WBS-087(SS+3)
WBS-089,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應分析,缺料風險分析 - 建置與驗證,7,184,2027-09-02,2027-09-10,262,269,264,271,2,N,Y,供應規劃人員,缺料風險分析 可用於「當需要處理「缺料風險分析」時，使用者可透過此功能建立與設定，以完成與「缺料風險分析」相關的日常作業。」等情境。,WBS-088(SS+2)
WBS-090,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應分析,庫存風險分析 - 建置與驗證,7,184,2027-09-07,2027-09-15,265,272,267,274,2,N,Y,供應規劃人員,庫存風險分析 可用於「當需要處理「庫存風險分析」時，使用者可透過此功能建立與設定，以完成與「庫存風險分析」相關的日常作業。」等情境。,WBS-089(SS+3)
WBS-091,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應分析,供應計畫差異與穩定度分析 - 建置與驗證,6,166,2027-09-09,2027-09-16,267,273,269,275,2,N,Y,供應規劃人員,供應計畫差異與穩定度分析 可用於「當需要處理「供應計畫差異與穩定度分析」時，使用者可透過此功能建立與設定，以完成與「供應計畫差異與穩定度分析」相關的日常作業。」等情境。,WBS-090(SS+2)
WBS-092,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應分析,供應網路與執行風險分析 - 建置與驗證,7,184,2027-09-14,2027-09-22,270,277,272,279,2,N,Y,供應規劃人員,供應網路與執行風險分析 可用於「當需要處理「供應網路與執行風險分析」時，使用者可透過此功能建立與設定，以完成與「供應網路與執行風險分析」相關的日常作業。」等情境。,WBS-091(SS+3)
WBS-093,M4,R4 SCP 供應可視化 Pilot,Capability Build,SCP,供應分析,分析報告中心 - 建置與驗證,6,154,2027-09-16,2027-09-23,272,278,274,280,2,N,Y,供應規劃人員,分析報告中心 可用於「當需要處理「分析報告中心」時，使用者可透過此功能建立與設定，以完成與「分析報告中心」相關的日常作業。」等情境。,WBS-092(SS+2)
WBS-094,M4,R4 SCP 供應可視化 Pilot,User Release Gate,Cross,Release,R4 SCP 供應可視化 Pilot - 使用者驗收、訓練與發布,5,336,2027-09-21,2027-09-27,275,280,275,280,0,Y,N,PM/PO / QA / DevOps/SRE / Scrum Master,偵測缺料、產能瓶頸與庫存風險事件; 以供應分析儀表板查看跨廠供應狀態,WBS-078(FS+35); WBS-079(FF); WBS-080(FF); WBS-081(FF); WBS-082(FF); WBS-083(FF); WBS-084(FF); WBS-085(FF); WBS-086(FF); WBS-087(FF); WBS-088(FF); WBS-089(FF); WBS-090(FF); WBS-091(FF); WBS-092(FF); WBS-093(FF)
WBS-095,M5,R5 SCP 規劃核心 Beta,Release/Foundation,Cross,共用/Release,SCP 規劃核心 - 共用建設與Release準備,13,840,2027-09-28,2027-10-14,280,293,327,340,47,N,N,PM/PO / DevOps/SRE / QA,執行供需模擬與多情境方案比較; 完成 PPO/MPS/MRP/MAO 與跨廠供應配置,WBS-094(FS)
WBS-096,M5,R5 SCP 規劃核心 Beta,Capability Build,SCP,供應規劃工作台,規劃範圍與版本選擇 - 建置與驗證,18,480,2027-09-28,2027-10-21,280,298,281,299,1,N,Y,供應規劃人員,規劃範圍與版本選擇 可用於「當需要處理「規劃範圍與版本選擇」時，使用者可透過此功能準備規劃輸入，以完成與「規劃範圍與版本選擇」相關的日常作業。」等情境。,WBS-094(FS+0)
WBS-097,M5,R5 SCP 規劃核心 Beta,Capability Build,SCP,供應規劃工作台,判斷與提交 - 建置與驗證,18,480,2027-10-05,2027-10-28,285,303,286,304,1,N,Y,供應規劃人員,判斷與提交 可用於「當需要處理「規劃範圍與版本選擇」時，使用者可透過此功能準備規劃輸入，以完成與「規劃範圍與版本選擇」相關的日常作業。」等情境。,WBS-096(SS+5)
WBS-098,M5,R5 SCP 規劃核心 Beta,Capability Build,SCP,供應規劃工作台,供應計畫檢視 - 建置與驗證,11,300,2027-10-12,2027-10-26,290,301,291,302,1,N,Y,供應規劃人員,供應計畫檢視 可用於「當需要處理「供應計畫檢視」時，使用者可透過此功能彙整討論內容，以完成與「供應計畫檢視」相關的日常作業。」等情境。,WBS-097(SS+5)
WBS-099,M5,R5 SCP 規劃核心 Beta,Capability Build,SCP,供應規劃工作台,產能與MPS規劃 - 建置與驗證,14,386,2027-10-19,2027-11-05,295,309,296,310,1,N,Y,供應規劃人員,產能與MPS規劃 可用於「當需要處理「產能與MPS規劃」時，使用者可透過此功能準備規劃輸入，以完成與「產能與MPS規劃」相關的日常作業。」等情境。,WBS-098(SS+5)
WBS-100,M5,R5 SCP 規劃核心 Beta,Capability Build,SCP,供應規劃工作台,物料與補貨規劃 - 建置與驗證,12,324,2027-10-26,2027-11-10,300,312,301,313,1,N,Y,供應規劃人員,物料與補貨規劃 可用於「當需要處理「物料與補貨規劃」時，使用者可透過此功能準備規劃輸入，以完成與「物料與補貨規劃」相關的日常作業。」等情境。,WBS-099(SS+5)
WBS-101,M5,R5 SCP 規劃核心 Beta,Capability Build,SCP,供應規劃工作台,庫存規劃 - 建置與驗證,12,324,2027-11-02,2027-11-17,305,317,306,318,1,N,Y,供應規劃人員,庫存規劃 可用於「當需要處理「庫存規劃」時，使用者可透過此功能準備規劃輸入，以完成與「庫存規劃」相關的日常作業。」等情境。,WBS-100(SS+5)
WBS-102,M5,R5 SCP 規劃核心 Beta,Capability Build,SCP,供應規劃工作台,替代供應與缺料處置 - 建置與驗證,9,240,2027-11-09,2027-11-19,310,319,311,320,1,N,Y,供應規劃人員,替代供應與缺料處置 可用於「當需要處理「替代供應與缺料處置」時，使用者可透過此功能準備規劃輸入，以完成與「替代供應與缺料處置」相關的日常作業。」等情境。,WBS-101(SS+5)
WBS-103,M5,R5 SCP 規劃核心 Beta,Capability Build,SCP,供應規劃工作台,供應情境管理 - 建置與驗證,11,286,2027-11-16,2027-11-30,315,326,316,327,1,N,Y,供應規劃人員,供應情境管理 可用於「當需要處理「供應情境管理」時，使用者可透過此功能建立模擬/評估條件，以完成與「供應情境管理」相關的日常作業。」等情境。,WBS-102(SS+5)
WBS-104,M5,R5 SCP 規劃核心 Beta,Capability Build,SCP,供應規劃工作台,最佳化與求解策略 - 建置與驗證,13,348,2027-11-23,2027-12-09,320,333,321,334,1,N,Y,供應規劃人員,最佳化與求解策略 可用於「當需要處理「最佳化與求解策略」時，使用者可透過此功能準備規劃輸入，以完成與「最佳化與求解策略」相關的日常作業。」等情境。,WBS-103(SS+5)
WBS-105,M5,R5 SCP 規劃核心 Beta,Capability Build,SCP,供應規劃工作台,供應方案比較 - 建置與驗證,9,236,2027-11-30,2027-12-10,325,334,326,335,1,N,Y,供應規劃人員,供應方案比較 可用於「當需要處理「供應方案比較」時，使用者可透過此功能建立模擬/評估條件，以完成與「供應方案比較」相關的日常作業。」等情境。,WBS-104(SS+5)
WBS-106,M5,R5 SCP 規劃核心 Beta,Capability Build,SCP,供應規劃工作台,規劃草稿與歷程 - 建置與驗證,9,242,2027-12-07,2027-12-17,330,339,331,340,1,N,Y,供應規劃人員,規劃草稿與歷程 可用於「當需要處理「規劃草稿與歷程」時，使用者可透過此功能記錄操作歷程，以完成與「規劃草稿與歷程」相關的日常作業。」等情境。,WBS-105(SS+5)
WBS-107,M5,R5 SCP 規劃核心 Beta,User Release Gate,Cross,Release,R5 SCP 規劃核心 Beta - 使用者驗收、訓練與發布,5,336,2027-12-14,2027-12-20,335,340,335,340,0,Y,N,PM/PO / QA / DevOps/SRE / Scrum Master,執行供需模擬與多情境方案比較; 完成 PPO/MPS/MRP/MAO 與跨廠供應配置,WBS-094(FS+55); WBS-095(FF); WBS-096(FF); WBS-097(FF); WBS-098(FF); WBS-099(FF); WBS-100(FF); WBS-101(FF); WBS-102(FF); WBS-103(FF); WBS-104(FF); WBS-105(FF); WBS-106(FF)
WBS-108,M6,R6 端到端閉環 Release Candidate,Release/Foundation,Cross,共用/Release,SCP 協同、發布與自動化 - 共用建設與Release準備,11,700,2027-12-21,2028-01-04,340,351,399,410,59,N,N,PM/PO / DevOps/SRE / QA,跨部門協同決議供應方案; 正式發布供應計畫並以工作流/通知自動驅動閉環,WBS-107(FS)
WBS-109,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,供應協同與審查,我的任務 - 建置與驗證,7,192,2027-12-21,2027-12-29,340,347,372,379,32,N,N,供應鏈主管,我的任務 可用於「當需要處理「我的任務」時，使用者可透過此功能接收新事件/任務，以完成與「我的任務」相關的日常作業。」等情境。,WBS-107(FS+0)
WBS-110,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,供應協同與審查,供應計畫審查 - 建置與驗證,8,204,2027-12-24,2028-01-04,343,351,375,383,32,N,N,供應鏈主管,供應計畫審查 可用於「當需要處理「供應計畫審查」時，使用者可透過此功能彙整討論內容，以完成與「供應計畫審查」相關的日常作業。」等情境。,WBS-109(SS+3)
WBS-111,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,供應協同與審查,產能瓶頸協同 - 建置與驗證,8,224,2027-12-30,2028-01-10,347,355,379,387,32,N,N,供應鏈主管,產能瓶頸協同 可用於「當需要處理「產能瓶頸協同」時，使用者可透過此功能彙整討論內容，以完成與「產能瓶頸協同」相關的日常作業。」等情境。,WBS-110(SS+4)
WBS-112,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,供應協同與審查,缺料協同 - 建置與驗證,8,224,2028-01-05,2028-01-14,351,359,383,391,32,N,N,供應鏈主管,缺料協同 可用於「當需要處理「缺料協同」時，使用者可透過此功能彙整討論內容，以完成與「缺料協同」相關的日常作業。」等情境。,WBS-111(SS+4)
WBS-113,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,供應協同與審查,情境模擬審查 - 建置與驗證,8,210,2028-01-11,2028-01-20,355,363,387,395,32,N,N,供應鏈主管,情境模擬審查 可用於「當需要處理「情境模擬審查」時，使用者可透過此功能建立模擬/評估條件，以完成與「情境模擬審查」相關的日常作業。」等情境。,WBS-112(SS+4)
WBS-114,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,供應協同與審查,供需共識 - 建置與驗證,10,264,2028-01-17,2028-01-28,359,369,391,401,32,N,N,供應鏈主管,供需共識 可用於「當需要處理「供需共識」時，使用者可透過此功能彙整討論內容，以完成與「供需共識」相關的日常作業。」等情境。,WBS-113(SS+4)
WBS-115,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,供應協同與審查,共識與決策 - 建置與驗證,8,204,2028-01-20,2028-01-31,362,370,394,402,32,N,N,供應鏈主管,共識與決策 可用於「當需要處理「共識與決策」時，使用者可透過此功能彙整討論內容，以完成與「共識與決策」相關的日常作業。」等情境。,WBS-114(SS+3)
WBS-116,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,供應協同與審查,供應計畫發布審查 - 建置與驗證,9,234,2028-01-26,2028-02-07,366,375,398,407,32,N,N,供應鏈主管,供應計畫發布審查 可用於「當需要處理「供應計畫發布審查」時，使用者可透過此功能建立發布清單，以完成與「供應計畫發布審查」相關的日常作業。」等情境。,WBS-115(SS+4)
WBS-117,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,供應協同與審查,協同歷程與稽核 - 建置與驗證,8,204,2028-02-01,2028-02-10,370,378,402,410,32,N,N,供應鏈主管,協同歷程與稽核 可用於「當需要處理「協同歷程與稽核」時，使用者可透過此功能記錄操作歷程，以完成與「協同歷程與稽核」相關的日常作業。」等情境。,WBS-116(SS+4)
WBS-118,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,自動化工作室,事件設計器 - 建置與驗證,8,208,2028-02-07,2028-02-16,374,382,375,383,1,N,Y,流程與自動化管理者,事件設計器 可用於「當需要處理「事件設計器」時，使用者可透過此功能建立設計範本，以完成與「事件設計器」相關的日常作業。」等情境。,WBS-107(FS+34)
WBS-119,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,自動化工作室,業務規則設計器 - 建置與驗證,8,208,2028-02-11,2028-02-22,378,386,379,387,1,N,Y,流程與自動化管理者,業務規則設計器 可用於「當需要處理「業務規則設計器」時，使用者可透過此功能建立設計範本，以完成與「業務規則設計器」相關的日常作業。」等情境。,WBS-118(SS+4)
WBS-120,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,自動化工作室,工作流程設計器 - 建置與驗證,8,208,2028-02-17,2028-02-28,382,390,383,391,1,N,Y,流程與自動化管理者,工作流程設計器 可用於「當需要處理「工作流程設計器」時，使用者可透過此功能建立設計範本，以完成與「工作流程設計器」相關的日常作業。」等情境。,WBS-119(SS+4)
WBS-121,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,自動化工作室,排程與通知管理 - 建置與驗證,8,212,2028-02-22,2028-03-02,385,393,386,394,1,N,Y,流程與自動化管理者,排程與通知管理 可用於「當需要處理「排程與通知管理」時，使用者可透過此功能建立與設定，以完成與「排程與通知管理」相關的日常作業。」等情境。,WBS-120(SS+3)
WBS-122,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,自動化工作室,設定 - 建置與驗證,9,252,2028-02-28,2028-03-09,389,398,390,399,1,N,Y,流程與自動化管理者,設定 可用於「當需要處理「設定」時，使用者可透過此功能建立設計範本，以完成與「設定」相關的日常作業。」等情境。,WBS-121(SS+4)
WBS-123,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,自動化工作室,管理 - 建置與驗證,9,252,2028-03-03,2028-03-15,393,402,394,403,1,N,Y,流程與自動化管理者,管理 可用於「當需要處理「管理」時，使用者可透過此功能建立設計範本，以完成與「管理」相關的日常作業。」等情境。,WBS-122(SS+4)
WBS-124,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,自動化工作室,控制 - 建置與驗證,9,252,2028-03-09,2028-03-21,397,406,398,407,1,N,Y,流程與自動化管理者,控制 可用於「當需要處理「控制」時，使用者可透過此功能建立設計範本，以完成與「控制」相關的日常作業。」等情境。,WBS-123(SS+4)
WBS-125,M6,R6 端到端閉環 Release Candidate,Capability Build,SCP,自動化工作室,自動化執行監控 - 建置與驗證,8,216,2028-03-15,2028-03-24,401,409,402,410,1,N,Y,流程與自動化管理者,自動化執行監控 可用於「當需要處理「自動化執行監控」時，使用者可透過此功能監控執行狀態，以完成與「自動化執行監控」相關的日常作業。」等情境。,WBS-124(SS+4)
WBS-126,M6,R6 端到端閉環 Release Candidate,User Release Gate,Cross,Release,R6 端到端閉環 Release Candidate - 使用者驗收、訓練與發布,5,336,2028-03-21,2028-03-27,405,410,405,410,0,Y,N,PM/PO / QA / DevOps/SRE / Scrum Master,跨部門協同決議供應方案; 正式發布供應計畫並以工作流/通知自動驅動閉環,WBS-107(FS+65); WBS-108(FF); WBS-109(FF); WBS-110(FF); WBS-111(FF); WBS-112(FF); WBS-113(FF); WBS-114(FF); WBS-115(FF); WBS-116(FF); WBS-117(FF); WBS-118(FF); WBS-119(FF); WBS-120(FF); WBS-121(FF); WBS-122(FF); WBS-123(FF); WBS-124(FF); WBS-125(FF)
WBS-127,M7,R7 Production Go-live,Release/Foundation,Cross,共用/Release,整合驗收與上線 - 共用建設與Release準備,20,1280,2028-03-28,2028-04-24,410,430,410,430,0,Y,N,PM/PO / DevOps/SRE / QA,完成端到端閉環：需求變更 → 供應模擬 → 供應發布; 完成 UAT、訓練、切換與穩定運轉,WBS-126(FS)
WBS-128,M7,R7 Production Go-live,User Release Gate,Cross,Release,R7 Production Go-live - 使用者驗收、訓練與發布,5,336,2028-04-18,2028-04-24,425,430,425,430,0,Y,N,PM/PO / QA / DevOps/SRE / Scrum Master,完成端到端閉環：需求變更 → 供應模擬 → 供應發布; 完成 UAT、訓練、切換與穩定運轉,WBS-126(FS+15); WBS-127(FF)
